row_id,title,url,area,block,scope,property_type,size_marla,beds,baths,asking_price,comp_count,comp_low,comp_typical,comp_high,position,deviation,confidence,predicted_price,image
0,2 Kanal House For Sale At Super Hot Location Near Park Commercial,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_k_2_kanal_house_for_sale_at_super_hot_location_near_park_commercial-51813229-1619-1.html,DHA Phase 6,Block K,block,House,40.0,6.0,6.0,197500000.0,23,268450000.0,380000000.0,584750000.0,below,0.2643,high,234973744.0,https://media.zameen.com/thumbnails/304998293-400x300.jpeg
1,5 Marla Stylish Bungalow | Wide Road Approach | Ideal Investment Option,https://www.zameen.com/Property/dha_9_town_dha_9_town_-_block_a_5_marla_stylish_bungalow_wide_road_approach_ideal_investment_option-53261035-8173-1.html,DHA 9 Town,Block A,block,House,5.0,3.0,4.0,27500000.0,91,26000000.0,28000000.0,32250000.0,within,0.0,high,26948388.0,https://media.zameen.com/thumbnails/299818541-400x300.jpeg
2,"22 Marla Modern Owner-Built Corner House With Lift, Basement & Swimming Pool For Sale In Prime Location Of DHA Phase 5 Lahore",https://www.zameen.com/Property/dha_phase_5_dha_phase_5_-_block_e_22_marla_modern_owner-built_corner_house_with_lift_basement_swimming_pool_for_sale_in_prime_location_of_dha_phase_5_lahore-53921691-1602-1.html,DHA Phase 5,Block E,area,House,22.0,6.0,6.0,177500000.0,236,86925000.0,104750000.0,148250000.0,above,0.1973,high,174763600.0,https://media.zameen.com/thumbnails/303811264-400x300.jpeg
3,24 MARLA HUGE LAWN HOUSE NEAR RAYA GOLF OWNER NEEDY,https://www.zameen.com/Property/dha_defence_dha_phase_6_24_marla_huge_lawn_house_near_raya_golf_owner_needy-53668931-1448-1.html,DHA Phase 6,,area,House,24.0,6.0,7.0,86500000.0,1004,87500000.0,112500000.0,190000000.0,within,0.0,high,142552224.0,https://media.zameen.com/thumbnails/300173418-400x300.jpeg
4,100% ORIGINAL ADD 1 KANAL BRAND NEW ULTRA MODERN NEWLY ENTRY VILLA FOR SALE IN DHA PHASE 7 NEAR TO MCDONALDS.,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_y_100_original_add_1_kanal_brand_new_ultra_modern_newly_entry_villa_for_sale_in_dha_phase_7_near_to_mcdonalds-53547745-1632-1.html,DHA Phase 7,Block Y,block,House,20.0,5.0,6.0,69500000.0,70,76105000.0,85500000.0,119825000.0,below,0.0868,high,85725480.0,https://media.zameen.com/thumbnails/305268905-400x300.jpeg
5,UK Architect - 1 Kanal Semi Furnished Modern House For Sale - DHA Phase 7,https://www.zameen.com/Property/dha_defence_dha_phase_7_uk_architect_-_1_kanal_semi_furnished_modern_house_for_sale_-_dha_phase_7-54622183-1450-1.html,DHA Phase 7,,area,House,20.0,5.0,6.0,135000000.0,1053,74900000.0,84900000.0,117500000.0,above,0.1489,high,112620208.0,https://media.zameen.com/thumbnails/306216383-400x300.jpeg
6,DHA RAHBAR PH 11 SECTOR 2 5M ULTRA MODERN DOUBEL STORY HOUSE AVAILABLE FOR SALE bank loan facility available hot LOCATION near by defence road,https://www.zameen.com/Property/lahore_dha_11_rahbar_dha_rahbar_ph_11_sector_2_5m_ultra_modern_doubel_story_house_available_for_sale_bank_loan_facility_available_hot_location_near_by_defence_road-54677113-1410-1.html,DHA 11 Rahbar,,area,House,5.0,3.0,4.0,29500000.0,50,22140000.0,26500000.0,29000000.0,within,0.0,high,24751176.0,https://media.zameen.com/thumbnails/306618372-400x300.jpeg
7,10 Marla House For Sale Wapda Town Owner Need Money Urgently,https://www.zameen.com/Property/lahore_wapda_town_10_marla_house_for_sale_wapda_town_owner_need_money_urgently-54674468-423-1.html,Wapda Town,,area,House,10.0,4.0,4.0,36000000.0,11,41250000.0,49000000.0,54000000.0,below,0.1273,low,40785068.0,https://media.zameen.com/thumbnails/306618333-400x300.jpeg
8,1 Kanal Designer House In Wapda Town,https://www.zameen.com/Property/lahore_wapda_town_1_kanal_designer_house_in_wapda_town-54660309-423-1.html,Wapda Town,,area,House,20.0,6.0,7.0,96000000.0,19,64250000.0,89000000.0,97650000.0,within,0.0,low,92055664.0,https://media.zameen.com/thumbnails/306523395-400x300.jpeg
9,Next To Park Ideal Location Nears Masjid 10 Marla House Available For Sale In DHA Phase 1 P Block,https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_block_p_next_to_park_ideal_location_nears_masjid_10_marla_house_available_for_sale_in_dha_phase_1_p_block-54677047-1655-1.html,DHA Phase 1,Block P,area,House,10.0,3.0,4.0,42500000.0,19,41000000.0,43000000.0,50750000.0,within,0.0,low,41259456.0,https://media.zameen.com/thumbnails/306617640-400x300.jpeg
